Comienca comienca RG 0.952324
domar domar VMN0000 1
las el DA0FP0 0.860393
cobdiçias codicias NCFS000 1
de de SPS00 0.999758
los el DA0MP0 0.964169
malos malo AQ0MP0 0.990196
, , Fc 1
ca ca CS 0.982082
non no RN 0.99968
se saber VMIP1S0 0.763441
pueden poder VMIP3P0 1
derraygar desarraigar VMN0000 1
sacando sacar VMG0000 1
en en SPS00 1
esta este DD0FS0 0.817376
manera manera NCFS000 1
, , Fc 1
faziendo hacer VMG0000 1
sienpre siempre RG 1
el el DA0MS0 0.880831
mandado mandado NCMS000 0.865854
del del_de+del_el SP+DA 0.5
enperador emperador NCMS000 1
et et CC 1
sigiendo sigiendo VMG0000 0.972978
derecha derecho AQ0FS0 0.847222
guerra guerra NCFS000 1
. . Fp 1

Enpero empero CC 1
dize decir VMIP3S0 1
en en SPS00 1
el el DA0MS0 0.880831
decreto decreto NCMS000 1
en en SPS00 1
la el DA0FS0 0.897854
causa causa NCFS000 0.972603
sobredicha sobredicho AQ0FS0 1
viii° viii° NCMS000 0.175279
capitulo capítulo NCMS000 1
que que PR0CN000 0.648953
nunca nunca RG 1
se saber VMIP1S0 0.763441
deue deber VMIP3S0 0.993174
fazer hacer VMN0000 1
batalla batalla NCFS000 1
sin sin SPS00 1
razon razón NCFS000 1
et et CC 1
gran grande AQ0CS0 1
neçesidat necesidad NCFS000 1
, , Fc 1
e e CC 1
comiença comenzar VMIP3S0 0.954545
aquel aquel DD0MS0 0.849576
capitulo capítulo NCMS000 1
: : Fd 1
si si CS 0.944444
mala malo AQ0FS0 0.901786
viget viget NCFS000 0.769746
neçesitas neçesitas NCFP000 1
. . Fp 1

Mas mas CC 0.345275
aqui aquí RG 1
conviene convenir VMIP3S0 1
de de SPS00 0.999758
notar notar VMN0000 1
que que CS 0.351047
mucho mucho RG 0.930013
deue deber VMIP3S0 0.993174
tener tener VMN0000 1
mientes mentar VMSP2S0 0.38
el el DA0MS0 0.880831
prinçipe príncipe NCMS000 1
que que PR0CN000 0.648953
se se PP3CN000 0.0107527
aya haber VMSP3S0 0.990196
bien bien RG 0.963887
con con SPS00 1
dios dios NCMS000 0.999067
quando cuándo PT000000 1
se saber VMIP1S0 0.763441
ha haber VMIP3S0 0.633634
de de SPS00 0.999758
començar comenzar VMN0000 1
la el DA0FS0 0.897854
fazienda facienda NCFS000 0.512121
o o CC 0.99692
la el DA0FS0 0.897854
batalla batalla NCFS000 1
et et CC 1
que que PR0CN000 0.648953
se se PP3CN000 0.0107527
guarde guardar VMSP1S0 0.477273
de de SPS00 0.999758
ofender ofender VMN0000 1
la el DA0FS0 0.897854
eglesia iglesia NCFS000 1
et et CC 1
esta este DD0FS0 0.817376
causa causa NCFS000 0.972603
quando cuándo PT000000 1
bien bien RG 0.963887
guardare guardar VMSF1S0 0.222963
los el DA0MP0 0.964169
mandamientos mandamiento NCMP000 1
de de SPS00 0.999758
dios dios NCMS000 0.999067
et et CC 1
de de SPS00 0.999758
la el DA0FS0 0.897854
eglesia iglesia NCFS000 1
, , Fc 1
segunt según SPS00 0.990196
que que PR0CN000 0.648953
dixo decir VMIS3S0 1
Achior achior RG 0.249986
quando cuándo PT000000 1
daua dar VMII1S0 0.5
consejo consejo NCMS000 0.637326
a a SPS00 0.956937
Olofernes holofernes NP000P0 1
, , Fc 1
judic judic VMIS1S0 0.500006
vi° vi° AQ0CS00 0.0305452
capitulo capítulo NCMS000 1
do donde PR000000 0.984536
cuenta contar VMIP3S0 0.594771
los el DA0MP0 0.964169
benefiçios beneficio NCMP000 1
de de SPS00 0.999758
Dios dios NCMS000 0.999067
que que PR0CN000 0.648953
fizo hacer VMIS3S0 1
a a SPS00 0.956937
su su DP3CS0 1
pueblo pueblo NCMS000 0.972603
, , Fc 1
et et CC 1
en en SPS00 1
cabo cabo NCMS000 1
concluyo concluir VMIS3S0 0.649996
asi así RG 1
: : Fd 1
señor señor NCMS000 0.996183
sabe saber VMM02S0 0.303922
si si CS 0.944444
es ser VSIP3S0 1
alguna alguno DI0FS0 0.992958
maldat maldad NCFS000 1
deste deste_de+deste_este SP+DD 1
pueblo pueblo NCMS000 0.972603
ante ante SPS00 0.378016
dios dios NCMS000 0.999067
, , Fc 1
et et CC 1
entonçe entonces RG 0.913043
vayamos ir VMSP1P0 0.970822
a a SPS00 0.956937
ellos ellos PP3MP000 1
, , Fc 1
que que CS 0.351047
dios dios NCMS000 0.999067
te te PP2CS000 1
los lo PP3MPA00 0.0355791
dara dar VMSI3S0 0.372963
en en SPS00 1
tus tu DP2CPS 1
manos mano NCFP000 1
; ; Fx 1
mas más RG 0.654277
si si CS 0.944444
ay haber VMIP3S0 0.451327
alguna alguno DI0FS0 0.992958
ofensa ofensa NCFS000 1
deste deste_de+deste_este SP+DD 1
pueblo pueblo NCMS000 0.972603
ante ante SPS00 0.378016
dios dios NCMS000 0.999067
non no RN 0.99968
podremos poder VMIF1P0 1
conquerirlos conquerir+lo VMN0000+PP3MPA00 1
ca ca CS 0.982082
dios dios NCMS000 0.999067
sera ser VSIF3S0 0.989071
con con SPS00 1
ellos ellos PP3MP000 1
. . Fp 1

Onde donde RG 0.5
dize decir VMIP3S0 1
dios dios NCMS000 0.999067
en en SPS00 1
el el DA0MS0 0.880831
Leuito leve AQDMS0 1
xxviii° xxviii° NCMS000 0.175279
capitulo capítulo NCMS000 1
: : Fd 1
non no RN 0.99968
temades temer VMSP2P0 1
ca ca CS 0.982082
yo yo PP1CSN00 1
sere ser VSIF1S0 1
conbusco convusco PP2CSN00 1
, , Fc 1
e e CC 1
sy si CS 0.871981
guardaredes guardar VMSF2P0 0.327174
mis mi DP1CPS 0.986111
mandamientos mandamiento NCMP000 1
persegiredes perseguir VMIF2P0 1
a a SPS00 0.956937
buestros vuestro DP2MPP 0.505203
enemigos enemigo NCMP000 0.65625
, , Fc 1
et et CC 1
ellos ellos PP3MP000 1
caeran caer VMIF3P0 1
ante ante SPS00 0.378016
vos te PP2CP000 0.5
, , Fc 1
et et CC 1
por por SPS00 1
el el DA0MS0 0.880831
contrario contrario NCMS000 0.617647
dize decir VMIP3S0 1
en en SPS00 1
el el DA0MS0 0.880831
Iosue josué NP000P0 1
vi° vi° VMIS3S0 0.0525441
capitulo capítulo NCMS000 1
, , Fc 1
que que CS 0.351047
por por SPS00 1
uno uno PI0MS000 0.905738
que que PR0CN000 0.648953
dizian decir VMII3P0 1
Atheor atheor AQ0CS00 1
muchos mucho DI0MP0 0.876506
fueron ser VSIS3P0 0.938596
muertos morir VMPS0PM 0.0833333
del del_de+del_el SP+DA 0.5
pueblo pueblo NCMS000 0.972603
; ; Fx 1
et et CC 1
por por SPS00 1
ende ende RG 1
el el DA0MS0 0.880831
que que PR0CN000 0.648953
quisiere querer VMSF1S0 0.5
auer haber VMN0000 0.703704
bitoria victoria NCFS000 0.711823
en en SPS00 1
la el DA0FS0 0.897854
fazienda facienda NCFS000 0.512121
aya haber VMSP3S0 0.990196
a a SPS00 0.956937
dios dios NCMS000 0.999067
por por SPS00 1
si si CS 0.944444
e e CC 1
los el DA0MP0 0.964169
suyos suyo PX3MP000 1
, , Fc 1
a a SPS00 0.956937
exenplo ejemplo NCMS000 1
de de SPS00 0.999758
Abrahan abraham NP000P0 1
et et CC 1
de de SPS00 0.999758
Muysen moisés NP000P0 1
et et CC 1
de de SPS00 0.999758
Iosue josué NP000P0 1
et et CC 1
de de SPS00 0.999758
dauit david NP000P0 1
et et CC 1
de de SPS00 0.999758
otros otro DI0MP0 0.652439
muchos mucho DI0MP0 0.876506
prinçipes príncipe NCMP000 1
que que PR0CN000 0.648953
ouieron haber VMIS3P0 0.5
sienpre siempre RG 1
vitoria victoria NCFS000 0.916667
de de SPS00 0.999758
sus su DP3CP0 1
enemigos enemigo NCMP000 0.65625
porque porque CS 0.996454
fueron ser VSIS3P0 0.938596
justos justo AQ0MP0 0.916667
et et CC 1
buenos bueno AQ0MP0 1
. . Fp 1

Mas mas CC 0.345275
por por SPS00 1
que que CS 0.351047
sepan saber VMSP3P0 0.738095
los el DA0MP0 0.964169
reyes rey NCMP000 1
et et CC 1
los el DA0MP0 0.964169
prinçipes príncipe NCMP000 1
en en SPS00 1
como como CS 0.953008
han haber VAIP3P0 0.97619
de de SPS00 0.999758
acometer acometer VMN0000 1
las el DA0FP0 0.860393
batallas batalla NCFP000 1
, , Fc 1
convieneles convenir+le VMIP3S0+PP3CPD00 1
de de SPS00 0.999758
saber saber VMN0000 0.665563
que que CS 0.351047
mas más RG 0.654277
vale valer VMIP3S0 0.846154
sabiduria sabiduría NCFS000 1
en en SPS00 1
las el DA0FP0 0.860393
batallas batalla NCFP000 1
de de SPS00 0.999758
las el DA0FP0 0.860393
armas arma NCFP000 0.987805
que que PR0CN000 0.648953
muchedunbre muchedumbre NCFS000 1
nin ni CC 1
fortaleza fortaleza NCFS000 1
de de SPS00 0.999758
conpañas compañía NCFP000 1
. . Fp 1

E e CC 1
por por SPS00 1
ende ende RG 1
conviene convenir VMIP3S0 1
de de SPS00 0.999758
saber saber VMN0000 0.665563
que que CS 0.351047
cosa cosa NCFS000 1
es ser VSIP3S0 1
caualleria caballería NCFS000 1
, , Fc 1
e e CC 1
para para SPS00 0.988789
que que PR0CN000 0.648953
es ser VSIP3S0 1
estableçida establecer VMPS0SF 1
, , Fc 1
et et CC 1
que que CS 0.351047
toda todo DI0FS0 0.949029
obra obra NCFS000 0.921569
de de SPS00 0.999758
batalla batalla NCFS000 1
se ser VSM02S0 0.225806
contiene contener VMIP3S0 1
so so SPS00 0.355634
la el DA0FS0 0.897854
arte arte NCCS000 1
de de SPS00 0.999758
caualleria caballería NCFS000 1
: : Fd 1
et et CC 1
este este DD0MS0 0.93323
es ser VSIP3S0 1
el el DA0MS0 0.880831
primero 1 AO0MS0 0.73057
capitulo capítulo NCMS000 1
desta desta_de+desta_este SP+DD 1
parte parte NCFS000 0.467611
postrimera postrimero AQ0FS0 1
, , Fc 1
que que CS 0.351047
esta este PD0FS000 0.143617
en en SPS00 1
tres 3 Z 0.280029
conclusiones conclusión NCFP000 1
. . Fp 1

La el DA0FS0 0.897854
primera 1 AO0FS0 0.70892
es ser VSIP3S0 1
que que CS 0.351047
cosa cosa NCFS000 1
es ser VSIP3S0 1
caualleria caballería NCFS000 1
. . Fp 1

La el DA0FS0 0.897854
segunda 2 AO0FS0 1
, , Fc 1
por por SPS00 1
que que PR0CN000 0.648953
fue ser VSIS3S0 0.93672
fecha hacer VMPS0SF 0.813333
et et CC 1
establesçida establecer VMPS0SF 1
la el DA0FS0 0.897854
terçera 3 NCFS000 0.916667
, , Fc 1
que que CS 0.351047
toda todo DI0FS0 0.949029
obra obra NCFS000 0.921569
de de SPS00 0.999758
batalla batalla NCFS000 1
perteneçe pertenecer VMIP3S0 0.913505
a a SPS00 0.956937
obra obra NCFS000 0.921569
de de SPS00 0.999758
caualleria caballería NCFS000 1
. . Fp 1

et et CC 1
quanto cuanto PR0MS000 0.996795
a a SPS00 0.956937
la el DA0FS0 0.897854
primera 1 AO0FS0 0.70892
, , Fc 1
conviene convenir VMIP3S0 1
de de SPS00 0.999758
saber saber VMN0000 0.665563
que que CS 0.351047
caualleria caballería NCFS000 1
et et CC 1
sabiduria sabiduría NCFS000 1
de de SPS00 0.999758
vida vida NCFS000 1
ordenada ordenar VMPS0SF 0.913043
a a SPS00 0.956937
bien bien RG 0.963887
comun común AQ0CS0 1
, , Fc 1
et et CC 1
esta este PD0FS000 0.143617
se saber VMIP1S0 0.763441
declara declarar VMIP3S0 0.930682
asi así RG 1
: : Fd 1
ca ca CS 0.982082
si sí PP3CNO00 0.0449735
se ser VSM02S0 0.225806
han haber VAIP3P0 0.97619
los el DA0MP0 0.964169
caualleros caballero NCMP000 0.954545
o o CC 0.99692
los el DA0MP0 0.964169
lidiadores lidiador NCMP000 1
a a SPS00 0.956937
la el DA0FS0 0.897854
obra obra NCFS000 0.921569
de de SPS00 0.999758
la el DA0FS0 0.897854
batalla batalla NCFS000 1
como como CS 0.953008
los el DA0MP0 0.964169
dotores doctor NCMP000 1
et et CC 1
los el DA0MP0 0.964169
maestros maestro NCMP000 0.633609
en en SPS00 1
las el DA0FP0 0.860393
otras otro DI0FP0 0.698675
çiençias ciencia NCFP000 1
, , Fc 1
ca ca CS 0.982082
asi así RG 1
como como CS 0.953008
ninguno ninguno PI0MS000 0.66129
non no RN 0.99968
es ser VSIP3S0 1
dado dar VMPS0SM 0.954545
por por SPS00 1
maestro maestro NCMS000 0.633609
en en SPS00 1
las el DA0FP0 0.860393
otras otro DI0FP0 0.698675
çiençias ciencia NCFP000 1
si si CS 0.944444
non no RN 0.99968
sopiere saber VMSF1S0 0.5
bien bien RG 0.963887
las el DA0FP0 0.860393
artes arte NCCP000 1
e e CC 1
las el DA0FP0 0.860393
çiençias ciencia NCFP000 1
en en SPS00 1
que que PR0CN000 0.648953
ha haber VAIP3S0 0.363363
de de SPS00 0.999758
ser ser VSN0000 0.969613
maestro maestro AQ0MS0 0.366391
, , Fc 1
asi así RG 1
ninguno ninguno PI0MS000 0.66129
non no RN 0.99968
deue deber VMIP3S0 0.993174
ser ser VSN0000 0.969613
puesto poner VMPS0SM 0.954545
por por SPS00 1
cauallero caballero NCMS000 0.87037
, , Fc 1
nin ni CC 1
por por SPS00 1
cabdillo caudillo NCMS000 1
si si CS 0.944444
non no RN 0.99968
fuese ser VSSI1S0 0.480496
sabidor sabedor AQ0MS0 1
en en SPS00 1
la el DA0FS0 0.897854
arte arte NCCS000 1
caualleril caballeril AQ0MS0 1
, , Fc 1
et et CC 1
si si CS 0.944444
non no RN 0.99968
amare amar VMIF1S0 0.554074
el el DA0MS0 0.880831
bien bien RG 0.963887
comun común AQ0CS0 1
et et CC 1
sy si CS 0.871981
non no RN 0.99968
ouiere haber VMSF1S0 0.238095
del del_de+del_el SP+DA 0.5
esperança esperanza NCFS000 1
que que PR0CN000 0.648953
sera ser VSIF3S0 0.989071
muy muy RG 1
bueno bueno AQ0MS0 0.980769
en en SPS00 1
la el DA0FS0 0.897854
batalla batalla NCFS000 1
et et CC 1
que que PR0CN000 0.648953
tirara tirar VMSI3S0 0.322977
de de SPS00 0.999758
sus su DP3CP0 1
çibdadanos ciudadano AQ0MP0 0.366391
guerras guerra NCFP000 1
et et CC 1
contiendas contienda NCFP000 0.916667
, , Fc 1
et et CC 1
que que CS 0.351047
pugnara pugnar VMSI3S0 0.372964
por por SPS00 1
guardar guardar VMN0000 1
la el DA0FS0 0.897854
iustiçia justicia NCFS000 1
, , Fc 1
et et CC 1
de de SPS00 0.999758
arredrar arredrar VMN0000 1
toda todo DI0FS0 0.949029
fuerça fuerza NCFS000 0.96875
que que PR0CN000 0.648953
sea ser VSSP1S0 0.492443
fecha hacer VMPS0SF 0.813333
al al_a+al_el SP+DA 0.915677
pueblo pueblo NCMS000 0.972603
et et CC 1
por por SPS00 1
todo todo DI0MS0 0.746894
su su DP3CS0 1
poder poder NCMS000 0.993421
. . Fp 1

Mas mas CC 0.345275
a a SPS00 0.956937
declaraçion declaración NCFS000 1
desta desta_de+desta_este SP+DD 1
primera 1 NCFS000 0.286385
, , Fc 1
et et CC 1
de de SPS00 0.999758
la el DA0FS0 0.897854
segunda 2 AO0FS0 1
conclusion conclusión NCFS000 1
, , Fc 1
conviene convenir VMIP3S0 1
de de SPS00 0.999758
saber saber VMN0000 0.665563
que que CS 0.351047
ay ahí RG 0.451327
çinco cinco AQ0MS0 0.366391
maneras manera NCFP000 1
de de SPS00 0.999758
prudençia prudencia NCFS000 1
et et CC 1
de de SPS00 0.999758
sabiduria sabiduría NCFS000 1
. . Fp 1

La el DA0FS0 0.897854
primera 1 AO0FS0 0.70892
es ser VSIP3S0 1
singular singular NCMS000 0.633607
o o CC 0.99692
particular particular NCCS000 0.916667
, , Fc 1
por por SPS00 1
la el DA0FS0 0.897854
qual cuál DT0CS0 1
sabe saber VMIP3S0 0.696078
omne hombre NCMS000 1
gouernar gobernar VMN0000 1
a a SPS00 0.956937
si si CS 0.944444
mesmo mismo PI0MS000 0.533835
, , Fc 1
et et CC 1
esta este DD0FS0 0.817376
es ser VSIP3S0 1
la el DA0FS0 0.897854
menor menor NCCS000 0.336066
. . Fp 1

La el DA0FS0 0.897854
segunda 2 AO0FS0 1
es ser VSIP3S0 1
yconomica económico VMPS0SF 1
, , Fc 1
por por SPS00 1
la el DA0FS0 0.897854
qual cuál DT0CS0 1
sabe saber VMIP3S0 0.696078
ome hombre NCMS000 1
gouernar gobernar VMN0000 1
su su DP3CS0 1
casa casa NCFS000 0.990148
et et CC 1
su su DP3CS0 1
conpaña compañía NCFS000 1
, , Fc 1
et et CC 1
esta este PD0FS000 0.143617
, , Fc 1
segunt según SPS00 0.990196
que que PR0CN000 0.648953
dize decir VMIP3S0 1
el él PP3MS000 0.119169
filosofo filosofar VMIS3S0 0.609156
, , Fc 1
esta estar VAIP3S0 0.037234
en en SPS00 1
saber saber VMN0000 0.665563
ome hombre NCMS000 1
bien bien RG 0.963887
aconsejarse aconsejar+se VMN0000+PP3CN000 1
et et CC 1
giar giar VMN0000 1
sienpre siempre RG 1
a a SPS00 0.956937
bien bien RG 0.963887
, , Fc 1
et et CC 1
